"","ID","fishing.effort.df","Solution","Category","geometry"
"163",163,1.0000388110634,"Outside","Escenario I: Ecológico ideal",c(-115.329103878, 28.2769457221172)
"164",164,5.99955820243961,"Inside","Escenario I: Ecológico ideal",c(-115.329103877998, 28.1769457337753)
"165",165,389.969717296643,"Outside","Escenario I: Ecológico ideal",c(-115.329103877999, 28.0769457452627)
"166",166,71.031973999393,"Outside","Escenario I: Ecológico ideal",c(-115.329103878, 27.9769457565757)
"167",167,76.0000226210355,"Outside","Escenario I: Ecológico ideal",c(-115.329103877999, 27.8769457677216)
"168",168,134.993488365449,"Outside","Escenario I: Ecológico ideal",c(-115.329103878001, 27.7769457786969)
"169",169,NA,"Outside","Escenario I: Ecológico ideal",c(-115.229103877999, 29.4769455686005)
"170",170,NA,"Outside","Escenario I: Ecológico ideal",c(-115.229103878001, 29.3769455823685)
"171",171,2.0009307486517,"Outside","Escenario I: Ecológico ideal",c(-115.229103878002, 29.2769455959562)
"172",172,8.00102071449106,"Outside","Escenario I: Ecológico ideal",c(-115.229103878002, 29.1769456093685)
"173",173,11.0009670007141,"Outside","Escenario I: Ecológico ideal",c(-115.229103877998, 28.5769456861089)
"174",174,5.00045827919833,"Outside","Escenario I: Ecológico ideal",c(-115.229103877998, 28.4769456982877)
"175",175,309.970601276278,"Outside","Escenario I: Ecológico ideal",c(-115.229103878, 28.3769457102929)
"176",176,3.01748866184906,"Outside","Escenario I: Ecológico ideal",c(-115.229103878002, 28.2769457221183)
"177",177,3.00011632890441,"Outside","Escenario I: Ecológico ideal",c(-115.229103878001, 28.1769457337751)
"178",178,198.007444904118,"Outside","Escenario I: Ecológico ideal",c(-115.229103878, 28.0769457452631)
"179",179,8.00244385091825,"Outside","Escenario I: Ecológico ideal",c(-115.229103877998, 27.9769457565746)
"180",180,23.0011902037604,"Outside","Escenario I: Ecológico ideal",c(-115.229103878, 27.8769457677235)
"181",181,52.0015428510975,"Outside","Escenario I: Ecológico ideal",c(-115.229103878001, 27.776945778697)
"182",182,64.9998679952526,"Outside","Escenario I: Ecológico ideal",c(-115.229103878001, 27.6769457895023)
"183",183,122.994735844862,"Outside","Escenario I: Ecológico ideal",c(-115.229103877999, 27.576945800141)
"184",184,NA,"Outside","Escenario I: Ecológico ideal",c(-115.129103878, 29.3769455823694)
"185",185,NA,"Outside","Escenario I: Ecológico ideal",c(-115.129103877999, 29.2769455959554)
"186",186,1.00027144689846,"Outside","Escenario I: Ecológico ideal",c(-115.129103877999, 29.1769456093689)
"187",187,20.0008450208433,"Outside","Escenario I: Ecológico ideal",c(-115.129103878003, 28.5769456861096)
"188",188,4.000950483737,"Outside","Escenario I: Ecológico ideal",c(-115.129103878002, 28.4769456982864)
"189",189,3.01196188594039,"Outside","Escenario I: Ecológico ideal",c(-115.129103878, 28.3769457102949)
"190",190,36.9967367168078,"Outside","Escenario I: Ecológico ideal",c(-115.129103878, 28.2769457221172)
"191",191,3.00194940794423,"Outside","Escenario I: Ecológico ideal",c(-115.129103877999, 28.1769457337751)
"192",192,NA,"Outside","Escenario I: Ecológico ideal",c(-115.129103877999, 28.0769457452624)
"193",193,NA,"Outside","Escenario I: Ecológico ideal",c(-115.129103878002, 27.9769457565758)
"194",194,15.5002908165675,"Inside","Escenario I: Ecológico ideal",c(-115.129103878002, 27.8769457677236)
"195",195,37.5005622450077,"Outside","Escenario I: Ecológico ideal",c(-115.129103878, 27.7769457786962)
"196",196,171.995850509991,"Outside","Escenario I: Ecológico ideal",c(-115.129103878001, 27.6769457895038)
"197",197,48.0101002649655,"Outside","Escenario I: Ecológico ideal",c(-115.129103878002, 27.5769458001393)
"198",198,NA,"Outside","Escenario I: Ecológico ideal",c(-115.029103877999, 31.9769451642389)
"199",199,NA,"Outside","Escenario I: Ecológico ideal",c(-115.029103877999, 31.8769451826997)
"200",200,NA,"Outside","Escenario I: Ecológico ideal",c(-115.029103877998, 29.3769455823695)
"201",201,2,"Outside","Escenario I: Ecológico ideal",c(-115.029103877999, 29.2769455959557)
"202",202,12.9989176334668,"Outside","Escenario I: Ecológico ideal",c(-115.029103877999, 29.1769456093687)
"203",203,3.00056223350072,"Outside","Escenario I: Ecológico ideal",c(-115.029103877998, 29.0769456225967)
"204",204,22.9988643513495,"Outside","Escenario I: Ecológico ideal",c(-115.029103877997, 28.4769456982866)
"205",205,10.0004708518686,"Outside","Escenario I: Ecológico ideal",c(-115.029103877999, 28.3769457102951)
"206",206,40.9980710172657,"Outside","Escenario I: Ecológico ideal",c(-115.029103877998, 28.2769457221166)
"207",207,24.0001603999282,"Outside","Escenario I: Ecológico ideal",c(-115.029103877998, 28.1769457337749)
"208",208,8.00072530651197,"Outside","Escenario I: Ecológico ideal",c(-115.029103877999, 28.0769457452631)
"209",209,2.00046172112502,"Outside","Escenario I: Ecológico ideal",c(-115.029103877998, 27.9769457565763)
"210",210,NA,"Inside","Escenario I: Ecológico ideal",c(-115.029103877997, 27.8769457677218)
"211",211,NA,"Outside","Escenario I: Ecológico ideal",c(-115.029103877996, 27.7769457786963)
"212",212,91.0031411768815,"Outside","Escenario I: Ecológico ideal",c(-115.029103877996, 27.6769457895043)
"213",213,59.001429672102,"Outside","Escenario I: Ecológico ideal",c(-115.029103877996, 27.5769458001398)
"214",214,93.999672481281,"Outside","Escenario I: Ecológico ideal",c(-115.029103877996, 27.4769458106087)
"215",215,NA,"Outside","Escenario I: Ecológico ideal",c(-114.929103878, 31.8769451827002)
"216",216,NA,"Outside","Escenario I: Ecológico ideal",c(-114.929103877998, 31.7769452009638)
"217",217,NA,"Outside","Escenario I: Ecológico ideal",c(-114.929103878001, 31.1769453064841)
"218",218,NA,"Outside","Escenario I: Ecológico ideal",c(-114.929103878002, 29.3769455823683)
"219",219,NA,"Outside","Escenario I: Ecológico ideal",c(-114.929103878002, 29.2769455959578)
"220",220,7.50021326607396,"Outside","Escenario I: Ecológico ideal",c(-114.929103878, 29.1769456093683)
"221",221,4.99992246179702,"Outside","Escenario I: Ecológico ideal",c(-114.929103878, 29.0769456225965)
"222",222,4.00063801937223,"Outside","Escenario I: Ecológico ideal",c(-114.929103878, 28.9769456356534)
"223",223,52.9999884088053,"Outside","Escenario I: Ecológico ideal",c(-114.929103878002, 28.3769457102931)
"224",224,133.991758654499,"Outside","Escenario I: Ecológico ideal",c(-114.929103878001, 28.2769457221177)
"225",225,51.0037118263289,"Outside","Escenario I: Ecológico ideal",c(-114.929103878, 28.1769457337747)
"226",226,21.0012194080318,"Outside","Escenario I: Ecológico ideal",c(-114.929103878, 28.0769457452642)
"227",227,4.00090103304185,"Outside","Escenario I: Ecológico ideal",c(-114.929103877999, 27.976945756574)
"228",228,6.99963307510105,"Inside","Escenario I: Ecológico ideal",c(-114.929103877999, 27.8769457677223)
"229",229,NA,"Inside","Escenario I: Ecológico ideal",c(-114.929103878001, 27.6769457895035)
"230",230,26.0012798120857,"Outside","Escenario I: Ecológico ideal",c(-114.929103878, 27.5769458001399)
"231",231,162.989363873613,"Outside","Escenario I: Ecológico ideal",c(-114.929103878001, 27.4769458106099)
"232",232,326.982426560133,"Outside","Escenario I: Ecológico ideal",c(-114.929103878001, 27.3769458209077)
"233",233,NA,"Outside","Escenario I: Ecológico ideal",c(-114.829103877999, 31.8769451826997)
"234",234,NA,"Outside","Escenario I: Ecológico ideal",c(-114.829103878, 31.7769452009632)
"235",235,NA,"Outside","Escenario I: Ecológico ideal",c(-114.829103878, 31.6769452190327)
"236",236,NA,"Outside","Escenario I: Ecológico ideal",c(-114.829103877999, 31.5769452369129)
"237",237,NA,"Outside","Escenario I: Ecológico ideal",c(-114.829103877998, 31.4769452545904)
"238",238,NA,"Outside","Escenario I: Ecológico ideal",c(-114.829103877999, 31.3769452720866)
"239",239,2,"Outside","Escenario I: Ecológico ideal",c(-114.829103877998, 31.2769452893824)
"240",240,NA,"Outside","Escenario I: Ecológico ideal",c(-114.829103877998, 31.1769453064829)
"241",241,NA,"Outside","Escenario I: Ecológico ideal",c(-114.829103878, 31.0769453234038)
"242",242,NA,"Inside","Escenario I: Ecológico ideal",c(-114.829103878, 30.9769453401263)
"243",243,NA,"Outside","Escenario I: Ecológico ideal",c(-114.829103877997, 29.2769455959563)
"244",244,1,"Inside","Escenario I: Ecológico ideal",c(-114.829103877998, 29.176945609369)
"245",245,17.9985400558018,"Inside","Escenario I: Ecológico ideal",c(-114.829103877999, 29.0769456225966)
"246",246,12.9999327540717,"Outside","Escenario I: Ecológico ideal",c(-114.829103877998, 28.9769456356522)
"247",247,7.00041644783606,"Outside","Escenario I: Ecológico ideal",c(-114.829103878, 28.8769456485322)
"248",248,67.9996136680543,"Outside","Escenario I: Ecológico ideal",c(-114.829103877999, 28.076945745265)
"249",249,28.0013718580841,"Outside","Escenario I: Ecológico ideal",c(-114.829103877999, 27.976945756573)
"250",250,19.9999572533243,"Outside","Escenario I: Ecológico ideal",c(-114.829103877999, 27.8769457677232)
"251",251,19.999495860216,"Outside","Escenario I: Ecológico ideal",c(-114.829103877998, 27.7769457786968)
"252",252,NA,"Inside","Escenario I: Ecológico ideal",c(-114.829103877998, 27.676945789504)
"253",253,96.9972466202716,"Outside","Escenario I: Ecológico ideal",c(-114.829103878, 27.5769458001403)
"254",254,261.986573339457,"Outside","Escenario I: Ecológico ideal",c(-114.829103877999, 27.4769458106091)
"255",255,1005.93036215863,"Outside","Escenario I: Ecológico ideal",c(-114.829103877997, 27.3769458209074)
"256",256,NA,"Outside","Escenario I: Ecológico ideal",c(-114.729103878001, 31.7769452009629)
"257",257,NA,"Outside","Escenario I: Ecológico ideal",c(-114.729103878, 31.6769452190326)
"258",258,NA,"Outside","Escenario I: Ecológico ideal",c(-114.729103878, 31.576945236912)
"259",259,25,"Outside","Escenario I: Ecológico ideal",c(-114.729103878, 31.476945254591)
